Ano,Município,CaixasMultibanco,DepositosBancarios
2020,Viseu,125,4987210
2020,Vizela,21,785490
2020,Vouzela,10,293420
2021,Abrantes,47,1081901
2021,Águeda,50,1767513
2021,Aguiar da Beira,8,344908
2021,Albergaria-a-Velha,31,735748
2021,Albufeira,137,2462334
2021,Alcácer do Sal,21,371110
2021,Alcanena,22,457032
2021,Alcobaça,70,1874195
2021,Alcochete,22,428206
2021,Alcoutim,4,202100
2021,Alenquer,40,902022
2021,Alfândega da Fé,5,276481
2021,Alijó,10,407294
2021,Aljezur,19,287656
2021,Aljustrel,11,260819
2021,Almada,198,5784886
2021,Almeida,13,238856
2021,Almeirim,22,656360
2021,Alvaiázere,9,383070
2021,Alvito,4,179622
2021,Amadora,166,4114493
2021,Amarante,48,1516935
2021,Amares,15,548517
2021,Anadia,25,964692
2021,Angra do Heroísmo,53,1141527
2021,Ansião,14,478182
2021,Arcos de Valdevez,19,1364592
2021,Arganil,12,329388
2021,Arouca,23,719916
2021,Arraiolos,7,150792
2021,Arruda dos Vinhos,17,456166
2021,Aveiro,113,5101586
2021,Avis,10,128774
2021,Azambuja,30,433130
2021,Baião,10,420632
2021,Barcelos,99,3932784
2021,Barreiro,76,1782010
2021,Batalha,15,1033368
2021,Beja,52,1350724
2021,Belmonte,9,271452
2021,Benavente,36,678968
2021,Bombarral,17,504580
2021,Borba,7,138537
2021,Boticas,4,337982
2021,Braga,222,8655066
2021,Bragança,48,2138418
2021,Cabeceiras de Basto,11,559356
2021,Cadaval,12,252953
2021,Caldas da Rainha,63,2311689
2021,Calheta [R.A.A.],9,92258
2021,Calheta [R.A.M.],11,601188
2021,Câmara de Lobos,19,531146
2021,Caminha,22,921418
2021,Campo Maior,10,192037
2021,Cantanhede,48,1540376
2021,Carrazeda de Ansiães,4,211507
2021,Carregal do Sal,12,236572
2021,Cartaxo,27,649965
2021,Cascais,246,10180014
2021,Castelo Branco,70,2636542
2021,Castelo de Paiva,12,431878
2021,Castro Daire,12,539655
2021,Castro Verde,12,317996
2021,Celorico da Beira,13,335377
2021,Celorico de Basto,9,409882
2021,Chamusca,12,200300
2021,Chaves,45,2032924
2021,Cinfães,11,303754
2021,Coimbra,211,7185503
2021,Condeixa-a-Nova,17,747943
2021,Coruche,17,629536
2021,Covilhã,70,1763867
2021,Crato,6,89207
2021,Elvas,26,678485
2021,Entroncamento,24,649018
2021,Espinho,38,1849268
2021,Esposende,37,1163808
2021,Estarreja,30,1025682
2021,Estremoz,23,640768
2021,Évora,89,2834984
2021,Fafe,38,1731245
2021,Faro,99,4613259
2021,Felgueiras,49,2162194
2021,Ferreira do Alentejo,13,210148
2021,Ferreira do Zêzere,8,165492
2021,Figueira da Foz,74,2157549
2021,Figueira de Castelo Rodrigo,10,229758
2021,Fronteira,5,79464
2021,Funchal,183,7809954
2021,Fundão,40,1188789
2021,Gondomar,110,3172438
2021,Gouveia,17,686158
2021,Grândola,21,710944
2021,Guarda,57,2376141
2021,Guimarães,160,6318913
2021,Horta,25,443100
2021,Idanha-a-Nova,13,322104
2021,Ílhavo,43,936016
2021,Lagoa,45,805880
2021,Lagoa [R.A.A.],12,178249
2021,Lagos,72,1342334
2021,Lajes das Flores,2,46604
2021,Lajes do Pico,13,132162
2021,Lamego,27,472390
2021,Leiria,142,7198207
2021,Lisboa,1240,142656002
2021,Loulé,146,5565720
2021,Loures,181,4386637
2021,Lourinhã,37,1025815
2021,Lousã,19,477756
2021,Lousada,36,632987
2021,Mação,8,206536
2021,Macedo de Cavaleiros,19,785396
2021,Machico,21,541862
2021,Madalena,15,208700
2021,Mafra,96,2254858
2021,Maia,127,4065928
2021,Mangualde,21,1031121
2021,Marco de Canaveses,41,1462108
2021,Marinha Grande,39,1470420
2021,Matosinhos,190,5052205
2021,Mealhada,33,541220
2021,Mêda,6,275927
2021,Melgaço,9,551213
2021,Mértola,6,241556
2021,Mira,11,535394
2021,Miranda do Corvo,13,310450
2021,Miranda do Douro,10,412993
2021,Mirandela,26,679326
2021,Mogadouro,7,219581
2021,Moimenta da Beira,10,261974
2021,Moita,53,1066496
2021,Monção,19,891130
2021,Mondim de Basto,7,243904
2021,Montalegre,10,706432
2021,Montemor-o-Novo,26,585857
2021,Montemor-o-Velho,20,465291
2021,Montijo,53,1218060
2021,Mora,7,176779
2021,Mortágua,10,528764
2021,Moura,21,400662
2021,Murça,5,231013
2021,Murtosa,11,438198
2021,Nazaré,27,388560
2021,Nelas,20,399700
2021,Nordeste,8,78664
2021,Óbidos,22,200204
2021,Odemira,45,1001930
2021,Odivelas,124,3834822
2021,Oeiras,230,29077072
2021,Oleiros,5,198860
2021,Olhão,53,1018928
2021,Oliveira de Azeméis,46,1720075
2021,Oliveira de Frades,14,400560
2021,Oliveira do Bairro,23,903656
2021,Oliveira do Hospital,26,643454
2021,Ourém,57,2547185
2021,Ourique,7,232761
2021,Ovar,55,1504914
2021,Paços de Ferreira,55,1390364
2021,Palmela,60,1107596
2021,Pampilhosa da Serra,9,160769
2021,Paredes,64,2289606
2021,Pedrógão Grande,7,188800
2021,Penacova,10,317487
2021,Penafiel,65,2040786
2021,Penalva do Castelo,4,391845
2021,Penedono,4,222932
2021,Peniche,36,889442
2021,Peso da Régua,20,686078
2021,Pinhel,7,441080
2021,Pombal,64,3113274
2021,Ponta Delgada,114,3222553
2021,Ponte da Barca,8,447846
2021,Ponte de Lima,35,1530078
2021,Ponte de Sor,24,509628
2021,Portalegre,41,1085872
2021,Portel,10,94708
2021,Portimão,109,2127852
2021,Porto,469,29620057
2021,Porto de Mós,26,738035
